Gorilla ID,Group 
ucjf5it7,1
u4ckj0xb,1
rcburgqm,1
p1el4un1,1
7ca8udou,1
fbdvz2jm,1
lcoa0ulz,1
5suttvcr,3
tfbf68k4,3
hs6ft2tt,3
jwit68o8,3
l51yoirf,3
ll7yp6dw,3
1tta9k0e,3
10gyt4yw,3
5zqcqbja,4
rjld64yp,4
fnw3740u,4
nqcfkk0t,2
7end2q7p,2
ekh4e8la,5
mqu3535e,2
trpxfsfj,2
64qj2z1q,2
vtnpc9v0,5
awnaa38f,4
yuxt0mr0,6
el4g7vqv,6
0latiljl,6
"eo7g3bb9	",5
eyf8awh6,5
8a4rmozk,5
ske1wdwv,5
wkig7g26,5
x886pg16,5
4swlxwke,5
49puxoj7,6
x9hun3az,4
fhonwjzj,4
jsk580jc,6
2nov5ul3,6
8fjzf3vt,2
9gexj2th,6
20ncbce2,2
eg36xi0r,2
mx4as100,2
